Disease,Definition
HIV,Readcode ever recorded
Hyperparathyroidism,Readcode ever recorded
Hypertension,Readcode ever recorded
Hypertrophic Cardiomyopathy,Readcode ever recorded
Hypertrophy of Nasal Turbinates,Readcode ever recorded
Hyposplenism,Readcode ever recorded
Idiopathic Intracranial Hypertension,Readcode ever recorded
Immunodeficiencies,Readcode ever recorded
Inflammatory Bowel Disease Crohn’s Disease,Readcode ever recorded
Inflammatory Bowel Disease Ulcerative Colitis,Readcode ever recorded
Intracerebral Haemorrhage,Readcode ever recorded
Irritable Bowel Syndrome,Readcode ever recorded
Learning Disability,Readcode ever recorded
Leiomyoma of Uterus,Readcode ever recorded
Lipid Disorder,Readcode ever recorded
Lupus Erythematosus ,Readcode ever recorded
Macular Degeneration,Readcode ever recorded
Meniere’s Disease,Readcode ever recorded
Meningioma,Readcode ever recorded
Menorrhagia and Polymenorrhea,Readcode ever recorded
Migraine,Readcode ever recorded
Motor neurone Disease (MND),Readcode ever recorded
Multiple Sclerosis,Readcode ever recorded
Myasthenia Gravis,Readcode ever recorded
Myocardial Infarction,Readcode ever recorded
Nasal polyp,Readcode ever recorded
Non-rheumatic Aortic Valve Disorders,Readcode ever recorded
Non-rheumatic Mitral Valve Disorders,Readcode ever recorded
Obesity,Readcode ever recorded
Obsessive Compulsive Disorder ,Readcode ever recorded
Obstructive Sleep Apnoea,Readcode ever recorded
Oesophageal varices,Readcode ever recorded
Osteoarthritis excluding spine,Readcode ever recorded
Osteoporosis,Readcode ever recorded
Ovarian Cystic Disease,Readcode ever recorded
Parkinson’s Disease,Readcode ever recorded
Peptic ulcer Disease,Readcode ever recorded
Peripheral Neuropathies Excluding Cranial nerve and carpal tunnel syndrome,Readcode ever recorded
Peripheral Vascular Disease,Readcode ever recorded
Personality Disorder,Readcode ever recorded
Pituitary adenoma,Readcode ever recorded
Pleural Effusion,Readcode ever recorded
Polycystic Ovarian Syndrome,Readcode ever recorded
Polycythaemia vera,Readcode ever recorded
Polymyalgia Rheumatica,Readcode ever recorded
Polyp,Readcode ever recorded
Primary Idiopathic Thrombocytopaenia,Readcode ever recorded
Primary Pulmonary Hypertension,Readcode ever recorded
Prostate Disorder,Readcode ever recorded
Psoriasis,Readcode ever recorded
Psoriatic Arthropathy,Readcode ever recorded
Psychoactive Substance Misuse,Readcode ever recorded
Pulmonary Fibrosis,Readcode ever recorded
Raynaud’s Syndrome,Readcode ever recorded
Recurrent deep vein thrombosis,Readcode ever recorded
Recurrent pulmonary embolus,Readcode ever recorded
Renal Stones,Readcode ever recorded
Rheumatic Valve disease,Readcode ever recorded
Rheumatoid Arthritis,Readcode ever recorded
Rosacea,Readcode ever recorded
Sarcoidosis,Readcode ever recorded
Schizophrenia,Readcode ever recorded
Scoliosis,Readcode ever recorded
Secondary Polycythaemia,Readcode ever recorded
Secondary Pulmonary Hypertension,Readcode ever recorded
Sick sinus Syndrome,Readcode ever recorded
Sickle cell anaemia,Readcode ever recorded
Sjogren’s Disease,Readcode ever recorded
Spina bifida,Readcode ever recorded
Spinal stenosis,Readcode ever recorded
Splenomegaly,Readcode ever recorded
Spondylolisthesis,Readcode ever recorded
Spondylosis,Readcode ever recorded
Stable Angina,Readcode ever recorded
Stroke CVA,Readcode ever recorded
Subarachnoid Haemorrhage,Readcode ever recorded
Subdural Haematoma no-traumatic,Readcode ever recorded
Systemic Sclerosis,Readcode ever recorded
Thalassaemia,Readcode ever recorded
Thrombophilia,Readcode ever recorded
Thyroid Problem,Readcode ever recorded
Transient Ischaemic Attack,Readcode ever recorded
Tuberculosis,Readcode ever recorded
Unstable Angina,Readcode ever recorded
Urinary Incontinence,Readcode ever recorded
Urolithiasis,Readcode ever recorded
Uterovaginal Genital Prolapse,Readcode ever recorded
Valve disorder non-rheumatic multiple,Readcode ever recorded
Visual Impairment and Blindness,Readcode ever recorded
Vitiligo,Readcode ever recorded
