"Read_code","Term","Disease"
"J3z3.00","Unspecified abdominal cavity hernia - simple","Abdominal Hernia"
"J3zz.00","Unspecified abdominal cavity hernia NOS","Abdominal Hernia"
"Jyu3.00","[X]Hernia","Abdominal Hernia"
"Jyu3000","[X]Other specified abdominal hernia+obstruction,w'o gangrene","Abdominal Hernia"
"Jyu3200","[X]Oth spcfd abdominal hernia without obstructn or gangrene","Abdominal Hernia"
"PG8..00","Congenital inguinal hernia","Abdominal Hernia"
"14C3.00","H/O: abdominal hernia","Abdominal Hernia"
"25P..12","O/E - hernia","Abdominal Hernia"
"25P3.00","O/E - irreducible hernia","Abdominal Hernia"
"25P4.00","O/E - strangulated hernia","Abdominal Hernia"
"25P5.00","O/E-hernia-cough impulse shown","Abdominal Hernia"
"25P6.00","O/E-hernia descends to scrotum","Abdominal Hernia"
"7H10.00","Simple excision of inguinal hernial sac","Abdominal Hernia"
"7H10y00","Other specified simple excision of inguinal hernial sac","Abdominal Hernia"
"7H10z00","Simple excision of inguinal hernial sac NOS","Abdominal Hernia"
"7H11.00","Primary repair of inguinal hernia","Abdominal Hernia"
"7H11000","Primary repair inguinal hernia using insert natural material","Abdominal Hernia"
"7H11100","Prim repair inguinal hernia using insert prosthet material","Abdominal Hernia"
"7H11111","Primary mesh repair of inguinal hernia","Abdominal Hernia"
"7H11200","Primary repair of inguinal hernia using sutures","Abdominal Hernia"
"7H11211","Bassini repair of inguinal hernia","Abdominal Hernia"
"7H11212","Ferguson repair of inguinal hernia","Abdominal Hernia"
"7H11213","McVay repair of inguinal hernia","Abdominal Hernia"
"7H11214","Shouldice repair of inguinal hernia","Abdominal Hernia"
"7H11400","Endoscopic primary repair of inguinal hernia","Abdominal Hernia"
"7H11500","Bilateral inguinal hernia repair","Abdominal Hernia"
"7H11600","Primary laparoscopic repair of inguinal hernia","Abdominal Hernia"
"7H11y00","Other specified primary repair of inguinal hernia","Abdominal Hernia"
"7H11y11","Halsted repair of inguinal hernia","Abdominal Hernia"
"7H11z00","Primary repair of inguinal hernia NOS","Abdominal Hernia"
"7H12.00","Repair of recurrent inguinal hernia","Abdominal Hernia"
"7H12.11","Herniorrhaphy for recurrent inguinal hernia","Abdominal Hernia"
"7H12000","Repair recurr inguinal hernia using insert natural material","Abdominal Hernia"
"7H12200","Repair of recurrent inguinal hernia using sutures","Abdominal Hernia"
"7H12300","Removal prosthet material fr previous repair inguinal hernia","Abdominal Hernia"
"7H12y00","Other specified repair of recurrent inguinal hernia","Abdominal Hernia"
"J38..00","Obturator hernia","Abdominal Hernia"
"7H13.00","Primary repair of femoral hernia","Abdominal Hernia"
"7H13.11","Femoral hernia repair NEC","Abdominal Hernia"
"7H13200","Primary repair of femoral hernia using sutures","Abdominal Hernia"
"7H13211","Cheadle repair of femoral hernia","Abdominal Hernia"
"7H13212","Henry repair of femoral hernia","Abdominal Hernia"
"7H13213","Lockwood repair of femoral hernia","Abdominal Hernia"
"7H13214","Lotheissen repair of femoral hernia","Abdominal Hernia"
"7H13215","McEvedy repair of femoral hernia","Abdominal Hernia"
"7H13300","Endoscopic primary repair of femoral hernia","Abdominal Hernia"
"7H13y00","Other specified primary repair of femoral hernia","Abdominal Hernia"
"7H13z00","Primary repair of femoral hernia NOS","Abdominal Hernia"
"7H14.00","Repair of recurrent femoral hernia","Abdominal Hernia"
"7H14.11","Herniorrhaphy for recurrent femoral hernia","Abdominal Hernia"
"7H14200","Repair of recurrent femoral hernia using sutures","Abdominal Hernia"
"7H14y00","Other specified repair of recurrent femoral hernia","Abdominal Hernia"
"7H14z00","Repair of recurrent femoral hernia NOS","Abdominal Hernia"
"7H15.00","Repair of umbilical hernia","Abdominal Hernia"
"7H15300","Remov prosthet material fr previous repair umbilical hernia","Abdominal Hernia"
"7H15y00","Other specified repair of umbilical hernia","Abdominal Hernia"
"7H15z00","Repair of umbilical hernia NOS","Abdominal Hernia"
"7H16.00","Primary repair of incisional hernia","Abdominal Hernia"
"7H16111","Primary mesh repair of incisional hernia","Abdominal Hernia"
"7H16200","Primary repair of incisional hernia using sutures","Abdominal Hernia"
"7H16y00","Other specified primary repair of incisional hernia","Abdominal Hernia"
"7H16z00","Primary repair of incisional hernia NOS","Abdominal Hernia"
"7H17.00","Repair of recurrent incisional hernia","Abdominal Hernia"
"7H17.11","Herniorrhaphy for recurrent incisional hernia","Abdominal Hernia"
"7H17200","Repair of recurrent incisional hernia using sutures","Abdominal Hernia"
"7H17y00","Other specified repair of recurrent incisional hernia","Abdominal Hernia"
"7H17z00","Repair of recurrent incisional hernia NOS","Abdominal Hernia"
"7H18.00","Repair of other hernia of abdominal wall","Abdominal Hernia"
"7H18.11","Repair of other ventral hernia","Abdominal Hernia"
"7H18000","Repair of ventral hernia using insert of natural material","Abdominal Hernia"
"7H18200","Repair of ventral hernia using sutures","Abdominal Hernia"
"7H18400","Repair of epigastric hernia, unspecified","Abdominal Hernia"
"7H18y00","Other specified repair of other hernia of abdominal wall","Abdominal Hernia"
"7H18z00","Repair of other hernia of abdominal wall NOS","Abdominal Hernia"
"7H1C.00","Primary repair of umbilical hernia","Abdominal Hernia"
"7H1C000","Primary rep umbilical hernia using insert natural material","Abdominal Hernia"
"7H1Cy00","Other specified primary repair of umbilical hernia","Abdominal Hernia"
"7H1D.00","Repair of recurrent umbilical hernia","Abdominal Hernia"
"7H1Dy00","Other specified repair of recurrent umbilical hernia","Abdominal Hernia"
"7H1E.00","Repair of recurrent other hernia of abdominal wall","Abdominal Hernia"
"7H1E200","Repair of recurrent ventral hernia using sutures","Abdominal Hernia"
"82B2.00","Manual reduction of hernia","Abdominal Hernia"
"J3...00","Hernia of abdominal cavity","Abdominal Hernia"
"J30..00","Inguinal hernia","Abdominal Hernia"
"J30..11","Bubonocele","Abdominal Hernia"
"J30..12","Direct inguinal hernia","Abdominal Hernia"
"J30..13","Indirect inguinal hernia","Abdominal Hernia"
"J30..14","Scrotal hernia","Abdominal Hernia"
"J300.00","Inguinal hernia with gangrene","Abdominal Hernia"
"J300000","Unilateral inguinal hernia with gangrene","Abdominal Hernia"
"J300300","Bilateral recurrent inguinal hernia with gangrene","Abdominal Hernia"
"J300z00","Inguinal hernia with gangrene NOS","Abdominal Hernia"
"J301.00","Inguinal hernia with obstruction","Abdominal Hernia"
"J301000","Unilateral inguinal hernia with obstruction","Abdominal Hernia"
"J301100","Unilateral recurrent inguinal hernia with obstruction","Abdominal Hernia"
"J301200","Bilateral inguinal hernia with obstruction","Abdominal Hernia"
"J302.00","Inguinal hernia - irreducible","Abdominal Hernia"
"J302000","Unilateral inguinal hernia - irreducible","Abdominal Hernia"
"J302100","Unilateral recurrent inguinal hernia - irreducible","Abdominal Hernia"
"J303.00","Simple inguinal hernia","Abdominal Hernia"
"J303011","Left inguinal hernia","Abdominal Hernia"
"J303012","Right inguinal hernia","Abdominal Hernia"
"J303z00","Simple inguinal hernia NOS","Abdominal Hernia"
"J304.00","Direct inguinal hernia","Abdominal Hernia"
"J305.00","Indirect inguinal hernia","Abdominal Hernia"
"J30yz00","Unspecified inguinal hernia NOS","Abdominal Hernia"
"J30z.00","Inguinal hernia NOS","Abdominal Hernia"
"J31..00","Femoral hernia","Abdominal Hernia"
"J310.00","Femoral hernia with gangrene","Abdominal Hernia"
"J310000","Unilateral femoral hernia with gangrene","Abdominal Hernia"
"M261C00","Tropical acne","Acne"
"M261B00","Steroid acne","Acne"
"M261A00","Pustular acne","Acne"
"M261900","Occupational acne","Acne"
"M261600","Cystic acne","Acne"
"M261012","Comedo","Acne"
"2FG5.00","Acne scar","Acne"
"M260.00","Acne varioliformis","Acne"
"M260000","Acne frontalis","Acne"
"M260z00","Acne varioliformis NOS","Acne"
"M260z11","Acne necrotica","Acne"
"M261.00","Other acne","Acne"
"M261000","Acne vulgaris","Acne"
"M261011","Blackhead","Acne"
"M261500","Colloid acne","Acne"
"M261100","Acne conglobata","Acne"
"M261200","Bromine acne","Acne"
"M261300","Chlorine acne","Acne"
"M261J00","Acne necrotica","Acne"
"M261G00","Acne agminata","Acne"
"M261F00","Acne fulminans","Acne"
"N25..00","SAPHO syndrome Synov, Acne, Pustul, Hyperost, Osteomyelitis","Acne"
"Myu6F00","[X]Acne, unspecified","Acne"
"Myu6800","[X]Other acne","Acne"
"M261400","Iodine acne","Acne"
"M26y200","Giant comedo","Acne"
"M261z00","Other acne NOS","Acne"
"BBe5.11","[M]Acoustic neuroma","Acoustic Neuroma"
"B7F1000","Acoustic neuroma","Acoustic Neuroma"
"F375.00","Alcoholic polyneuropathy","Alcohol-related Brain Injury"
"F25B.00","Alcohol-induced epilepsy","Alcohol-related Brain Injury"
"1B1c.00","Alcohol induced hallucinations","Alcohol-related Brain Injury"
"F11x000","Cerebral degeneration due to alcoholism","Alcohol-related Brain Injury"
"Eu10411","[X]Delirium tremens, alcohol induced","Alcohol-related Brain Injury"
"E015.00","Alcoholic paranoia","Alcohol-related Brain Injury"
"Eu10712","[X]Chronic alcoholic brain syndrome","Alcohol-related Brain Injury"
"E013.00","Alcohol withdrawal hallucinosis","Alcohol-related Brain Injury"
"E012000","Chronic alcoholic brain syndrome","Alcohol-related Brain Injury"
"E012.11","Alcoholic dementia NOS","Alcohol-related Brain Injury"
"E012.00","Other alcoholic dementia","Alcohol-related Brain Injury"
"F144000","Cerebellar ataxia due to alcoholism","Alcohol-related Brain Injury"
"ZV6D600","[V]Alcohol abuse counselling and surveillance","Alcohol Problem"
"9NN2.00","Under care of community alcohol team","Alcohol Problem"
"C150500","Alcohol-induced pseudo-Cushing's syndrome","Alcohol Problem"
"C251.11","Wernicke's encephalopathy","Alcohol Problem"
"C253.00","Wernicke's encephalopathy","Alcohol Problem"
"E01..00","Alcoholic psychoses","Alcohol Problem"
"E010.00","Alcohol withdrawal delirium","Alcohol Problem"
"E010.11","DTs - delirium tremens","Alcohol Problem"
"E010.12","Delirium tremens","Alcohol Problem"
"E011.00","Alcohol amnestic syndrome","Alcohol Problem"
"E011000","Korsakov's alcoholic psychosis","Alcohol Problem"
"E011100","Korsakov's alcoholic psychosis with peripheral neuritis","Alcohol Problem"
"E011200","Wernicke-Korsakov syndrome","Alcohol Problem"
"E011z00","Alcohol amnestic syndrome NOS","Alcohol Problem"
"E01y.00","Other alcoholic psychosis","Alcohol Problem"
"E01y000","Alcohol withdrawal syndrome","Alcohol Problem"
"E01yz00","Other alcoholic psychosis NOS","Alcohol Problem"
"E01z.00","Alcoholic psychosis NOS","Alcohol Problem"
"E23..00","Alcohol dependence syndrome","Alcohol Problem"
"E23..11","Alcoholism","Alcohol Problem"
"E23..12","Alcohol problem drinking","Alcohol Problem"
"E230.00","Acute alcoholic intoxication in alcoholism","Alcohol Problem"
"E230.11","Alcohol dependence with acute alcoholic intoxication","Alcohol Problem"
"E230000","Acute alcoholic intoxication, unspecified, in alcoholism","Alcohol Problem"
"E230100","Continuous acute alcoholic intoxication in alcoholism","Alcohol Problem"
"E230200","Episodic acute alcoholic intoxication in alcoholism","Alcohol Problem"
"E230300","Acute alcoholic intoxication in remission, in alcoholism","Alcohol Problem"
"E230z00","Acute alcoholic intoxication in alcoholism NOS","Alcohol Problem"
"E231.00","Chronic alcoholism","Alcohol Problem"
"E231.11","Dipsomania","Alcohol Problem"
"E231000","Unspecified chronic alcoholism","Alcohol Problem"
"E231100","Continuous chronic alcoholism","Alcohol Problem"
"E231200","Episodic chronic alcoholism","Alcohol Problem"
"E231300","Chronic alcoholism in remission","Alcohol Problem"
"E23z.00","Alcohol dependence syndrome NOS","Alcohol Problem"
"Eu10.00","[X]Mental and behavioural disorders due to use of alcohol","Alcohol Problem"
"Eu10100","[X]Mental and behav dis due to use of alcohol: harmful use","Alcohol Problem"
"Eu10211","[X]Alcohol addiction","Alcohol Problem"
"Eu10213","[X]Dipsomania","Alcohol Problem"
"Eu10400","[X]Men & behav dis due alcohl: withdrawl state with delirium","Alcohol Problem"
"Eu10611","[X]Korsakov's psychosis, alcohol induced","Alcohol Problem"
"Eu10800","[X]Alcohol withdrawal-induced seizure","Alcohol Problem"
"F11x011","Alcoholic encephalopathy","Alcohol Problem"
"G555.00","Alcoholic cardiomyopathy","Alcohol Problem"
"G852300","Oesophageal varices in alcoholic cirrhosis of the liver","Alcohol Problem"
"J153.00","Alcoholic gastritis","Alcohol Problem"
"J610.00","Alcoholic fatty liver","Alcohol Problem"
"J611.00","Acute alcoholic hepatitis","Alcohol Problem"
"J612000","Alcoholic fibrosis and sclerosis of liver","Alcohol Problem"
"J613.00","Alcoholic liver damage unspecified","Alcohol Problem"
"J613000","Alcoholic hepatic failure","Alcohol Problem"
"J617.00","Alcoholic hepatitis","Alcohol Problem"
"J617000","Chronic alcoholic hepatitis","Alcohol Problem"
"J670800","Alcohol-induced acute pancreatitis","Alcohol Problem"
"J671000","Alcohol-induced chronic pancreatitis","Alcohol Problem"
"ZV11300","[V]Personal history of alcoholism","Alcohol Problem"
"ZV11311","[V]Problems related to lifestyle alcohol use","Alcohol Problem"
"ZV57A00","[V]Alcohol rehabilitation","Alcohol Problem"
"E231z00","Chronic alcoholism NOS","Alcohol Problem"
"136S.00","Hazardous alcohol use","Alcohol Problem"
"136W.00","Alcohol misuse","Alcohol Problem"
"13Y8.00","Alcoholics anonymous","Alcohol Problem"
"66e..00","Alcohol disorder monitoring","Alcohol Problem"
"7P22100","Delivery of rehabilitation for alcohol addiction","Alcohol Problem"
"8BA8.00","Alcohol detoxification","Alcohol Problem"
"8CAv.00","Advised to contact primary care alcohol worker","Alcohol Problem"
"8G32.00","Aversion therapy - alcoholism","Alcohol Problem"
"8H35.00","Admitted to alcohol detoxification centre","Alcohol Problem"
"8H7p.00","Referral to community alcohol team","Alcohol Problem"
"8HkG.00","Referral to specialist alcohol treatment service","Alcohol Problem"
"9k1..00","Alcohol misuse - enhanced services administration","Alcohol Problem"
"9k12.00","Alcohol misuse - enhanced service completed","Alcohol Problem"
"J612.12","Laennec's cirrhosis","Alcoholic Liver Disease"
"14B1.00","H/O: hay fever","Allergic And Chronic rhinitis"
"H120.00","Chronic rhinitis","Allergic And Chronic rhinitis"
"H120000","Chronic simple rhinitis","Allergic And Chronic rhinitis"
"H120100","Chronic catarrhal rhinitis","Allergic And Chronic rhinitis"
"H120200","Chronic hypertrophic rhinitis","Allergic And Chronic rhinitis"
"H120300","Chronic atrophic rhinitis","Allergic And Chronic rhinitis"
"H120400","Chronic infective rhinitis","Allergic And Chronic rhinitis"
"H120500","Chronic ulcerative rhinitis","Allergic And Chronic rhinitis"
"H120600","Chronic membranous rhinitis","Allergic And Chronic rhinitis"
"H120700","Chronic fibrinous rhinitis","Allergic And Chronic rhinitis"
"H120z00","Chronic rhinitis NOS","Allergic And Chronic rhinitis"
"H13..11","Chronic rhinosinusitis","Allergic And Chronic rhinitis"
"H17..00","Allergic rhinitis","Allergic And Chronic rhinitis"
"H17..11","Perennial rhinitis","Allergic And Chronic rhinitis"
"H17..12","Allergic rhinosinusitis","Allergic And Chronic rhinitis"
"H170.00","Allergic rhinitis due to pollens","Allergic And Chronic rhinitis"
"H170.11","Hay fever - pollens","Allergic And Chronic rhinitis"
"H170.12","Pollinosis","Allergic And Chronic rhinitis"
"H171.00","Allergic rhinitis due to other allergens","Allergic And Chronic rhinitis"
"H171.11","Cat allergy","Allergic And Chronic rhinitis"
"H171.12","Dander (animal) allergy","Allergic And Chronic rhinitis"
"H171.13","Feather allergy","Allergic And Chronic rhinitis"
"H171.15","House dust allergy","Allergic And Chronic rhinitis"
"H171.16","House dust mite allergy","Allergic And Chronic rhinitis"
"H171000","Allergy to animal","Allergic And Chronic rhinitis"
"H171100","Dog allergy","Allergic And Chronic rhinitis"
"H172.00","Allergic rhinitis due to unspecified allergen","Allergic And Chronic rhinitis"
"H172.11","Hay fever - unspecified allergen","Allergic And Chronic rhinitis"
"H17z.00","Allergic rhinitis NOS","Allergic And Chronic rhinitis"
"H18..00","Vasomotor rhinitis","Allergic And Chronic rhinitis"
"H330011","Hay fever with asthma","Allergic And Chronic rhinitis"
"Hyu2000","[X]Other seasonal allergic rhinitis","Allergic And Chronic rhinitis"
"Hyu2100","[X]Other allergic rhinitis","Allergic And Chronic rhinitis"
"H171.14","Hay fever - other allergen","Allergic And Chronic rhinitis"
"M240111","Ophiasis","Alopecia Areata"
"M240B00","Alopecia totalis","Alopecia Areata"
"M240K00","Alopecia universalis","Alopecia Areata"
"M240U00","Ophiasis","Alopecia Areata"
"Myu6200","[X]Other alopecia areata","Alopecia Areata"
"M240100","Alopecia areata","Alopecia Areata"
"D200.00","Constitutional aplastic anaemia","Anaemia Aplastic"
"D200.13","Blackfan - Diamond syndrome","Anaemia Aplastic"
"D200.15","Hypoplastic anaemia - familial","Anaemia Aplastic"
"D200000","Congenital hypoplastic anaemia","Anaemia Aplastic"
"D200100","Fanconi's familial refractory anaemia","Anaemia Aplastic"
"D200111","Fanconi's hypoplastic anaemia","Anaemia Aplastic"
"D200211","Pancytopenia-dysmelia","Anaemia Aplastic"
"D200300","Constitutional red cell aplasia and hypoplasia","Anaemia Aplastic"
"D200312","Congenital pure red cell aplasia","Anaemia Aplastic"
"D200313","Constitutional red cell hypoplasia","Anaemia Aplastic"
"D200314","Congenital red cell hypoplasia","Anaemia Aplastic"
"D200400","Erythrogenesis imperfecta","Anaemia Aplastic"
"D200y00","Other specified constitutional aplastic anaemia","Anaemia Aplastic"
"D201.00","Acquired aplastic anaemia","Anaemia Aplastic"
"D201.11","Normocytic anaemia due to aplasia","Anaemia Aplastic"
"D201000","Aplastic anaemia due to chronic disease","Anaemia Aplastic"
"D201z12","Red cell hypoplasia","Anaemia Aplastic"
"D201z00","Acquired aplastic anaemia NOS","Anaemia Aplastic"
"D201800","[X]Pure red cell aplasia","Anaemia Aplastic"
"D201700","Transient hypoplastic anaemia","Anaemia Aplastic"
"D20..00","Aplastic anaemia","Anaemia Aplastic"
"D201612","Pancytopenia with pancreatitis","Anaemia Aplastic"
"D201611","Pancytopenia with malformation","Anaemia Aplastic"
"D201600","Pancytopenia NOS","Anaemia Aplastic"
"D201500","Pancytopenia - acquired","Anaemia Aplastic"
"D201400","Aplastic anaemia due to toxic cause","Anaemia Aplastic"
"D203.00","Transient acquired pure red cell aplasia","Anaemia Aplastic"
"D201311","Radiation aplastic anaemia","Anaemia Aplastic"
"D201200","Aplastic anaemia due to infection","Anaemia Aplastic"
"D201111","Hypoplastic anaemia due to drug or chemical substance","Anaemia Aplastic"
"D201100","Aplastic anaemia due to drugs","Anaemia Aplastic"
"D200200","Constitutional aplastic anaemia with malformation","Anaemia Aplastic"
"D201z13","Secondary red cell hypoplasia NEC","Anaemia Aplastic"
"D20z.00","Aplastic anaemia NOS","Anaemia Aplastic"
"D20X.00","Acquired pure red cell aplasia, unspecified","Anaemia Aplastic"
"D204.00","Idiopathic aplastic anaemia","Anaemia Aplastic"
"D203000","Transient erythroblastopenia of childhood","Anaemia Aplastic"
"D202.00","Chronic acquired pure red cell aplasia","Anaemia Aplastic"
"D201z14","Secondary red cell aplasia NEC","Anaemia Aplastic"
"Dyu0300","[X]Other folate deficiency anaemias","Anaemia Folate Deficiency"
"D012.11","Folic acid deficiency anaemia","Anaemia Folate Deficiency"
"D012.00","Folate-deficiency anaemia","Anaemia Folate Deficiency"
"C262000","Folic acid deficiency","Anaemia Folate Deficiency"
"D013000","Combined B12 and folate deficiency anaemia","Anaemia Folate Deficiency"
"D012111","Goat's milk anaemia","Anaemia Folate Deficiency"
"D110000","Primary cold-type haemolytic anaemia","Anaemia Haemolytic"
"D110100","Primary warm-type haemolytic anaemia","Anaemia Haemolytic"
"D110200","Secondary cold-type haemolytic anaemia","Anaemia Haemolytic"
"D110400","Drug-induced autoimmune haemolytic anaemia","Anaemia Haemolytic"
"D110z00","Autoimmune haemolytic anaemia NOS","Anaemia Haemolytic"
"D111.00","Non-autoimmune haemolytic anaemia","Anaemia Haemolytic"
"D111000","Mechanical haemolytic anaemia","Anaemia Haemolytic"
"D111100","Microangiopathic haemolytic anaemia","Anaemia Haemolytic"
"D111400","Drug-induced haemolytic anaemia","Anaemia Haemolytic"
"D111500","Infective haemolytic anaemia","Anaemia Haemolytic"
"D111y00","Other specified non-autoimmune haemolytic anaemia","Anaemia Haemolytic"
"D111z00","Non-autoimmune haemolytic anaemia NOS","Anaemia Haemolytic"
"D112.00","Haemoglobinuria due to haemolysis from external causes","Anaemia Haemolytic"
"D112000","Haemoglobinuria from exertion","Anaemia Haemolytic"
"D112011","March haemoglobinuria","Anaemia Haemolytic"
"D112012","Marchiafava - Micheli syndrome","Anaemia Haemolytic"
"D112100","Paroxysmal nocturnal haemoglobinuria","Anaemia Haemolytic"
"D112200","Paroxysmal cold haemoglobinuria","Anaemia Haemolytic"
"D112z00","Haemoglobinuria due to haemolysis from external cause NOS","Anaemia Haemolytic"
"D112z11","Cold haemoglobinuria","Anaemia Haemolytic"
"D112z12","Acquired haemolytic anaemia with haemoglobinuria NEC","Anaemia Haemolytic"
"D112z13","Paroxysmal haemoglobinuria NOS","Anaemia Haemolytic"
"D11z.00","Acquired haemolytic anaemia NOS","Anaemia Haemolytic"
"D11z000","Acquired spherocytosis","Anaemia Haemolytic"
"D1y..00","Other specified haemolytic anaemias","Anaemia Haemolytic"
"D1z..00","Haemolytic anaemias NOS","Anaemia Haemolytic"
"Dyu1.00","[X]Haemolytic anaemias","Anaemia Haemolytic"
"Dyu1300","[X]Other haemoglobinopathies","Anaemia Haemolytic"
"Dyu1500","[X]Other autoimmune haemolytic anaemias","Anaemia Haemolytic"
"D1...00","Haemolytic anaemias","Anaemia Haemolytic"
"D10..00","Hereditary haemolytic anaemias","Anaemia Haemolytic"
